instance_id,benchmark,domain,constructor,network_group,feat_source,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff,profile_missing_ct,input_dim,output_dim,n_param_total,n_nodes,n_gemm_matmul,n_conv,n_relu,n_add,n_mul,n_softmax,n_pow,graph_depth,n_hidden_layers,max_hidden_width,onnx_file_bytes,arch_MLP,arch_CNN,arch_ATTENTION,arch_POLYNOMIAL,arch_HYBRID,arch_OTHER,has_conv,has_softmax,has_add_residual,has_pow,arch_type,size_missing_ct,verifier,raw_status,raw_time,raw_outcome,budget_s
meap4,sweep_all,synthetic,MEAP,sweep_all::meap4,onnx,0.0010000000474974513,5365.0897056746335,0.9941291585127201,5.645446897643238,64.26292620454478,0,100,10,152250,51,26,0,9,16,0,0,0,42,9,256,618911.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0686213970184,timeout,600.0
meap4,sweep_all,synthetic,MEAP,sweep_all::meap4,onnx,0.0010000000474974513,5365.0897056746335,0.9941291585127201,5.645446897643238,64.26292620454478,0,100,10,152250,51,26,0,9,16,0,0,0,42,9,256,618911.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.36887788772583,error,600.0
meap4,sweep_all,synthetic,MEAP,sweep_all::meap4,onnx,0.0010000000474974513,5365.0897056746335,0.9941291585127201,5.645446897643238,64.26292620454478,0,100,10,152250,51,26,0,9,16,0,0,0,42,9,256,618911.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,167.74844098091125,solved,600.0
meap5,sweep_all,synthetic,MEAP,sweep_all::meap5,onnx,0.0010000000474974513,724.0898983263686,0.9523809523809523,3.8066624897703196,63.972233029333005,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,37.26540780067444,solved,600.0
meap5,sweep_all,synthetic,MEAP,sweep_all::meap5,onnx,0.0010000000474974513,724.0898983263686,0.9523809523809523,3.8066624897703196,63.972233029333005,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.6708343029022,timeout,600.0
meap5,sweep_all,synthetic,MEAP,sweep_all::meap5,onnx,0.0010000000474974513,724.0898983263686,0.9523809523809523,3.8066624897703196,63.972233029333005,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,marabou,TIMEOUT,600.0106112957001,timeout,600.0
meap5,sweep_all,synthetic,MEAP,sweep_all::meap5,onnx,0.0010000000474974513,724.0898983263686,0.9523809523809523,3.8066624897703196,63.972233029333005,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,nnenum,ERROR,1.3138210773468018,error,600.0
meap5,sweep_all,synthetic,MEAP,sweep_all::meap5,onnx,0.0010000000474974513,724.0898983263686,0.9523809523809523,3.8066624897703196,63.972233029333005,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,pyrat,UNSAT,6.254603147506714,solved,600.0
meap6,sweep_all,synthetic,MEAP,sweep_all::meap6,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.58351893845611,63.80700695860285,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,abcrown,UNSAT,25.230706453323364,solved,600.0
meap6,sweep_all,synthetic,MEAP,sweep_all::meap6,onnx,0.0010000000474974513,645.0449640723831,0.9523809523809523,3.58351893845611,63.80700695860285,0,100,10,5306,33,17,0,6,10,0,0,0,27,6,32,27506.0,1,0,0,0,0,0,0,0,1,0,MLP,0,neuralsat,TIMEOUT,600.6471049785614,timeout,600.0
